run_tag,best_f1,best_threshold,precision_at_best,recall_at_best,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices,n_pos_slices,n_neg_slices,hit_distance
run01_negatives_only,0.396,0.7,0.2921,0.6146,59,143,37,81,62,96,159,30
run02_sigma_10,0.64,0.9,0.7089,0.5833,56,23,40,5,18,96,159,20
run03_sigma_12,0.6667,0.85,0.7284,0.6146,59,22,37,8,14,96,159,24
run04_sigma_14,0.6864,0.9,0.7945,0.6042,58,15,38,7,8,96,159,28
run05_sigma12_hm20,0.717,0.9,0.9048,0.5938,57,6,39,1,5,96,159,24
run06_sigma12_hm10,0.7665,0.75,0.9014,0.6667,64,7,32,4,3,96,159,24
run07_sigma12_hm30,0.6971,0.8,0.7722,0.6354,61,18,35,2,16,96,159,24
run08_sigma12_hm7,0.7179,0.75,0.7071,0.7292,70,29,26,18,11,96,159,24
run08_resnet_sigma12_hm10,0.7614,0.75,0.8375,0.6979,67,13,29,6,7,96,159,24
run10_resnet_augmented,0.7784,0.8,0.9155,0.6771,65,6,31,2,4,96,159,24
