threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0169,0.9062,0.0331,87,5067,9,3103,1964
0.1,0.0295,0.8854,0.0572,85,2792,11,1686,1106
0.15,0.0383,0.8854,0.0734,85,2136,11,1294,842
0.2,0.046,0.875,0.0874,84,1743,12,1053,690
0.25,0.0542,0.8646,0.102,83,1448,13,866,582
0.3,0.0633,0.8646,0.1179,83,1229,13,731,498
0.35,0.0729,0.8646,0.1345,83,1055,13,617,438
0.4,0.085,0.8646,0.1547,83,894,13,524,370
0.45,0.0976,0.8438,0.1749,81,749,15,450,299
0.5,0.1149,0.8333,0.202,80,616,16,373,243
0.55,0.1357,0.7917,0.2317,76,484,20,290,194
0.6,0.1697,0.7812,0.2788,75,367,21,223,144
0.65,0.2278,0.75,0.3495,72,244,24,145,99
0.7,0.2921,0.6146,0.396,59,143,37,81,62
0.75,0.3689,0.3958,0.3819,38,65,58,41,24
0.8,0.4737,0.1875,0.2687,18,20,78,11,9
0.85,0.6429,0.0938,0.1636,9,5,87,3,2
0.9,1.0,0.0312,0.0606,3,0,93,0,0
0.95,0.0,0.0,0.0,0,0,96,0,0
