threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0074,0.9167,0.0147,88,11788,8,6441,5347
0.1,0.0211,0.8958,0.0413,86,3984,10,2303,1681
0.15,0.0272,0.8854,0.0528,85,3040,11,1731,1309
0.2,0.0324,0.8854,0.0624,85,2542,11,1440,1102
0.25,0.0368,0.875,0.0707,84,2196,12,1231,965
0.3,0.0421,0.875,0.0803,84,1911,12,1068,843
0.35,0.0479,0.8646,0.0907,83,1651,13,912,739
0.4,0.0542,0.8646,0.102,83,1448,13,806,642
0.45,0.0625,0.8646,0.1166,83,1245,13,689,556
0.5,0.073,0.8542,0.1344,82,1042,14,561,481
0.55,0.0854,0.8438,0.1552,81,867,15,466,401
0.6,0.1024,0.8438,0.1826,81,710,15,367,343
0.65,0.1246,0.8229,0.2164,79,555,17,289,266
0.7,0.1746,0.8021,0.2868,77,364,19,182,182
0.75,0.2368,0.7917,0.3645,76,245,20,123,122
0.8,0.3288,0.7604,0.4591,73,149,23,70,79
0.85,0.4769,0.6458,0.5487,62,68,34,30,38
0.9,0.7089,0.5833,0.64,56,23,40,5,18
0.95,0.7797,0.4792,0.5935,46,13,50,2,11
