threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0146,0.8958,0.0288,86,5793,10,3206,2587
0.1,0.0431,0.8854,0.0821,85,1889,11,1006,883
0.15,0.0676,0.875,0.1256,84,1158,12,604,554
0.2,0.0921,0.875,0.1667,84,828,12,451,377
0.25,0.1092,0.8646,0.1939,83,677,13,371,306
0.3,0.1258,0.8542,0.2193,82,570,14,319,251
0.35,0.1413,0.8333,0.2417,80,486,16,276,210
0.4,0.1602,0.8229,0.2683,79,414,17,228,186
0.45,0.1884,0.8125,0.3059,78,336,18,184,152
0.5,0.2219,0.8021,0.3476,77,270,19,148,122
0.55,0.2596,0.7708,0.3885,74,211,22,114,97
0.6,0.3174,0.7604,0.4479,73,157,23,85,72
0.65,0.3731,0.75,0.4983,72,121,24,61,60
0.7,0.4494,0.7396,0.5591,71,87,25,45,42
0.75,0.5574,0.7083,0.6239,68,54,28,23,31
0.8,0.625,0.6771,0.65,65,39,31,16,23
0.85,0.7229,0.625,0.6704,60,23,36,7,16
0.9,0.9048,0.5938,0.717,57,6,39,1,5
0.95,0.9556,0.4479,0.6099,43,2,53,0,2
