threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0086,0.8542,0.017,82,9486,14,5216,4270
0.1,0.0832,0.8125,0.1509,78,860,18,441,419
0.15,0.127,0.8125,0.2197,78,536,18,271,265
0.2,0.1582,0.8125,0.2649,78,415,18,213,202
0.25,0.194,0.8021,0.3124,77,320,19,163,157
0.3,0.2222,0.7917,0.347,76,266,20,131,135
0.35,0.2585,0.7917,0.3897,76,218,20,102,116
0.4,0.2996,0.7708,0.4315,74,173,22,80,93
0.45,0.3411,0.7604,0.471,73,141,23,66,75
0.5,0.3925,0.7604,0.5177,73,113,23,52,61
0.55,0.4337,0.75,0.5496,72,94,24,43,51
0.6,0.4863,0.7396,0.5868,71,75,25,32,43
0.65,0.5868,0.7396,0.6544,71,50,25,16,34
0.7,0.7263,0.7188,0.7225,69,26,27,12,14
0.75,0.8375,0.6979,0.7614,67,13,29,6,7
0.8,0.9091,0.625,0.7407,60,6,36,2,4
0.85,0.94,0.4896,0.6438,47,3,49,1,2
0.9,0.9643,0.2812,0.4355,27,1,69,0,1
0.95,1.0,0.1146,0.2056,11,0,85,0,0
