threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.023,0.9375,0.045,90,3816,6,2501,1315
0.1,0.0694,0.8958,0.1288,86,1153,10,713,440
0.15,0.1135,0.8958,0.2014,86,672,10,366,306
0.2,0.1506,0.8958,0.2579,86,485,10,250,235
0.25,0.1911,0.8958,0.315,86,364,10,176,188
0.3,0.235,0.8958,0.3723,86,280,10,137,143
0.35,0.2905,0.8958,0.4388,86,210,10,101,109
0.4,0.3195,0.8854,0.4696,85,181,11,87,94
0.45,0.3556,0.8854,0.5075,85,154,11,71,83
0.5,0.4078,0.875,0.5563,84,122,12,54,68
0.55,0.4586,0.8646,0.5993,83,98,13,41,57
0.6,0.551,0.8438,0.6667,81,66,15,31,35
0.65,0.6045,0.8438,0.7043,81,53,15,25,28
0.7,0.7143,0.7812,0.7463,75,30,21,11,19
0.75,0.7778,0.7292,0.7527,70,20,26,5,15
0.8,0.9155,0.6771,0.7784,65,6,31,2,4
0.85,0.9138,0.5521,0.6883,53,5,43,2,3
0.9,0.973,0.375,0.5414,36,1,60,0,1
0.95,1.0,0.1771,0.3009,17,0,79,0,0
