threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.077,0.6562,0.1379,63,755,33,697,58
0.1,0.7973,0.6146,0.6941,59,15,37,8,7
0.15,0.8169,0.6042,0.6946,58,13,38,7,6
0.2,0.8615,0.5833,0.6957,56,9,40,5,4
0.25,0.9016,0.5729,0.7006,55,6,41,3,3
0.3,0.9322,0.5729,0.7097,55,4,41,2,2
0.35,0.9483,0.5729,0.7143,55,3,41,1,2
0.4,0.9821,0.5729,0.7237,55,1,41,0,1
0.45,0.9808,0.5312,0.6892,51,1,45,0,1
0.5,0.98,0.5104,0.6712,49,1,47,0,1
0.55,1.0,0.4896,0.6573,47,0,49,0,0
0.6,1.0,0.4688,0.6383,45,0,51,0,0
0.65,1.0,0.4479,0.6187,43,0,53,0,0
0.7,1.0,0.4167,0.5882,40,0,56,0,0
0.75,1.0,0.3958,0.5672,38,0,58,0,0
0.8,1.0,0.3958,0.5672,38,0,58,0,0
0.85,1.0,0.3854,0.5564,37,0,59,0,0
0.9,1.0,0.375,0.5455,36,0,60,0,0
0.95,1.0,0.3542,0.5231,34,0,62,0,0
