threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.4324,0.6667,0.5246,64,84,32,17,67
0.1,0.7895,0.625,0.6977,60,16,36,7,9
0.15,0.8429,0.6146,0.7108,59,11,37,5,6
0.2,0.873,0.5729,0.6918,55,8,41,5,3
0.25,0.9,0.5625,0.6923,54,6,42,3,3
0.3,0.9138,0.5521,0.6883,53,5,43,2,3
0.35,0.9298,0.5521,0.6928,53,4,43,1,3
0.4,0.9455,0.5417,0.6887,52,3,44,1,2
0.45,0.9434,0.5208,0.6711,50,3,46,1,2
0.5,0.9434,0.5208,0.6711,50,3,46,1,2
0.55,0.9796,0.5,0.6621,48,1,48,0,1
0.6,0.9787,0.4792,0.6434,46,1,50,0,1
0.65,0.9773,0.4479,0.6143,43,1,53,0,1
0.7,0.9767,0.4375,0.6043,42,1,54,0,1
0.75,0.975,0.4062,0.5735,39,1,57,0,1
0.8,0.9744,0.3958,0.563,38,1,58,0,1
0.85,0.973,0.375,0.5414,36,1,60,0,1
0.9,0.9706,0.3438,0.5077,33,1,63,0,1
0.95,0.9667,0.3021,0.4603,29,1,67,0,1
